leiden_0_6	n_cells	dominant_age_group	dominant_sample	refined_broad_TEC_mean	refined_cTEC_mean	refined_mTEC_mean	refined_mimetic_TEC_mean	refined_MHCII_AP_mean	refined_DC_specific_mean	refined_pDC_specific_mean	refined_B_specific_mean	refined_macrophage_specific_mean	refined_T_cell_mean	refined_fibroblast_mean	refined_endothelial_mean	refined_cycling_mean
0	1500	fetal	F_23wks_2	-0.15498614857885573	-0.09109132140517234	-0.13997890129089355	-0.00446608855120341	0.39448103539493345	-0.0029247613083256616	0.14074541258160272	-0.006561229611807533	-0.006314469277208117	-0.059793740080640354	-0.5553597627298038	0.8507883980834525	-0.03997513166056739
1	840	fetal	F_19wks	0.45920667071001875	0.755688163203143	0.41867590000799726	-0.004838184323764983	0.8911879547981043	-0.010426918933599713	-0.1055982882582006	-0.024251028969262938	-0.014559017513076937	-0.09538630462623358	0.0072914978762467705	-0.43141325267756603	0.026202330568361847
10	296	postnatal	P_10m_2	-0.1348449759440379	-0.010258468997639578	-0.1325587649723968	-0.007471802382050333	1.0691060668552244	-0.007824510403581569	0.16272575528396144	-0.010533130162584193	-0.027583232412276892	-0.1540338125590045	-0.46216956836951745	0.6423638844454252	-0.1239617352915911
11	288	postnatal	P_6d	-0.2920737069569252	-0.19977575373939344	-0.24150151044130327	-0.011666190660662122	-0.4434607053720565	-0.017999142232868404	0.1455841434283389	-0.048920262265901064	-0.03192244420315088	-0.19214798389954144	2.723721086051729	-0.515010857924518	-0.16574359058643934
12	285	fetal	F_23wks_1	-0.21952063641352962	-0.00046880497430500264	-0.1800979250774049	-0.006385829562471624	-0.03633097138600043	-0.0075005285840285445	0.24548344979202538	-0.010265481587484882	-0.00607935588421179	-0.09974255741379447	-0.5953885633359876	0.6257768912672806	-0.07359849562700728
13	267	postnatal	P_10m_2	-0.11443575357527619	-0.08545489543386167	-0.087453060927016	-0.004887213271208917	-0.05855707890383164	-0.010076147771804371	-0.05334537998299474	-0.020404188810032687	-0.025472859122603386	-0.1295743503853545	-0.122872514483634	-0.44085460834379064	-0.09906810273168686
14	266	adult	A_25y	-0.15067778242859325	-0.1349789854368769	0.039161512080888104	-0.005764132887797248	0.13085816744126771	-0.010773065996946846	-0.05783717764051337	-0.02067448235167337	-0.004014461274641879	-0.1678295556159399	0.7839097477798176	-0.35127855605322944	-0.1252979501364823
15	250	postnatal	P_6d	-0.14539225949605308	-0.13255849173784257	-0.13898471384048464	-0.010211622749328613	-0.12576197311878204	0.10502468842124939	-0.17681377277565002	0.2077806666161836	0.09559764773251334	1.7916422837987043	-0.2723161010837555	-0.41416415043118027	-0.09692488916158676
16	216	adult	A_25y	0.402792683015635	-0.1311666621654122	0.7543373718747387	-0.005719173619040736	0.1124973421037933	-0.015224387402887698	-0.11882128832516846	-0.01966472464971664	-0.018890393227252944	-0.1197626442650554	-0.17516336383642972	-0.3293732223219074	-0.10461681686709692
17	210	fetal	F_23wks_1	0.7638426095341879	-0.10265601150904384	-0.11830930966422672	0.1514408825465611	0.08599540659927185	-0.01995410644667489	0.01748422171956017	-0.03870358622916763	-0.03167657460559542	-0.10916803538437353	-0.3841787416934967	-0.36578139970198226	-0.1114186457873337
18	198	postnatal	P_10m_2	0.6735885961449106	-0.0656758662636834	0.88253868889327	8.55819143430142e-06	0.8588935880869727	-0.015025261870939725	-0.0553102621309685	-0.03698236573879208	-0.030576294794339022	-0.0950729924216932	-0.25086870306670067	-0.49281512181766907	-0.09969544947749436
19	186	fetal	P_6d	-0.16220467336288916	-0.12076482407828812	-0.14455224240338932	-0.008697228235583152	0.05557624527523594	0.04769935521109557	-0.12738570293431642	0.09512748921848938	0.27296228335060274	0.5405119788120205	-0.39845955476965955	-0.286847738591962	0.38833223787793975
2	729	fetal	F_19wks	-0.1266846125650253	-0.04612000075387366	-0.08720262266807922	-0.0046588008930326654	-0.185821965710998	-0.005973963538533103	0.0647318784330444	-0.01896953719831576	0.002756792568749917	-0.04049417785905433	1.6142225178573357	-0.26960245411283473	-0.026253574710078692
20	180	fetal	F_23wks_1	-0.1844041017691294	-0.0979969006429116	-0.16881781146261426	-0.0028387022150887387	-0.0061858042754508805	-0.007871416665448083	0.07936594521337086	-0.023764997856200266	-0.013067760743350218	-0.09708944736777804	-0.09467288957039516	0.483036084080786	1.2929462440168416
21	124	postnatal	P_6d	-0.18055781790005265	-0.11748414417909038	-0.15415240553117568	-0.008765400682726214	-0.21245819691047874	0.14614282295652614	-0.15100368447073043	0.16549033145519224	0.12933475188230667	2.000010477784238	-0.2521859033453849	-0.33604954499381107	-0.12666103246711916
22	92	fetal	F_23wks_2	1.0157458308209544	-0.11391316866097244	-0.11989938182675319	0.14439878449750984	-0.23871744122194205	-0.02920026752050372	-0.11587837707996368	-0.0279809852930129	-0.03386453403511263	-0.10329802163556188	-0.4024730101616486	-0.49428576479944475	-0.1115389515016822
23	26	fetal	F_23wks_1	0.7049880865292673	-0.05629500047518657	-0.13101638115369357	-0.009883530240792495	-0.3127770604995581	-0.01150028173128764	-0.20495997022665466	-0.025245775597631782	0.012778597053493117	-0.09076878475693619	0.18702516060609084	-0.4061190466363947	-0.01159555955575063
3	694	adult	A_25y	-0.14968029636241975	-0.119745102227593	-0.1434691517119449	-0.00565371344137604	1.3778219976228208	-0.009336828589267621	0.0901804924942231	0.03603668481423568	-0.025313702280285615	-0.16144868818583316	-0.5817077242469237	0.9154251705259678	-0.11538580300313252
4	619	postnatal	P_10m_2	-0.11074253234288099	-0.10468444444540052	-0.11472416441159411	-0.005985680783892679	0.03695899069919083	-0.009995268754761387	0.055292684391742765	-0.03289930828919876	-0.006938162938148979	-0.11456818679898505	2.1543210188599127	-0.43388898551889127	-0.12884893746275253
5	594	fetal	F_23wks_2	-0.11269239087364356	-0.08186119829364095	-0.09198449271696586	-0.004779887019985854	-0.1478301312017655	-0.005545656125152151	0.03298399075755366	-0.006179565428795698	-0.004923792273904371	-0.05799491360426309	0.00361548414134016	-0.10095494655092221	0.0754864045713352
6	345	postnatal	P_10m_1	1.0951821760371112	-0.08710486066168632	0.3561638738936272	0.02641660221262255	1.239113003666274	-0.004942669517723259	-0.18698206792776137	-0.04099976263120919	-0.018593380892501014	-0.10171443974762479	-0.3599037540891896	-0.5036279944143399	-0.14026561834918702
7	338	postnatal	P_10m_2	-0.11374985332084596	-0.05757112388251096	-0.12015386482667642	-0.005214692167981842	1.6387180984372924	-0.010869390367638666	0.13884324021875505	0.02264737618679867	-0.02526330648574738	-0.14986792980658847	-0.4996362511540306	0.8693552576599956	-0.10487772005990413
8	306	fetal	F_23wks_2	-0.030598226383101185	-0.030769698229782722	-0.042256101252012006	-0.003318935897225648	-0.010023136647308575	-0.0027508437468595232	-0.05696708198855905	-0.009134983168826084	0.006699911906335222	0.008476258301549813	-0.06491115418914097	-0.052566420679368814	0.27248959516517995
9	296	adult	A_25y	-0.13842779699209576	-0.13768823706016348	-0.11532419239347047	-0.004657384384322811	-0.12471440890350857	-0.009859944646422928	-0.09435314019145193	-0.010932581550907637	-0.022115724394471417	-0.14935519700849983	-0.3423903320528366	-0.3416209284937223	-0.11893158787609759
